"trackNumber","artistName","trackName","specialName","releaseDate","episodeNumber"
1,"Warrior","Voodoo (Oliver Lieb Mix)","Incentive Promo","n/a",1
2,"Munity","Secrets (Ian Wilkie Mix)","VC Recordings","n/a",1
3,"Joker Jam","Innocence (Planisphere Mix)","Green Martian","n/a",1
4,"Liquidation","Theme From Liquid (Marco V. Mix)","Acetate / United Recordings","n/a",1
5,"Tune Of The Week: Sonic Inc.","The Taste Of Summer (Fire & Ice Vital Remix)","Bonzai Promo","n/a",1
6,"Natural Born Grooves","Kickback (T.D.R. Remix)","Spinnin' Promo","n/a",1
7,"R.R. Workshop","50K (Original Mix)","Journey Promo","n/a",1
8,"ASOT Radio Classic: Ultimate Seduction","Ultimate Seduction (Original Mix)","Interdance Records, 1996","n/a",1
9,"System F. feat. Armin van Buuren","Exhale (New Mix)","Tsunami / Acetate","n/a",1
10,"Blank & Jones","Tribal Attack (Original Mix)","Gang Go Music","n/a",1
11,"Drax & Scott Mac","Sublime (Darkstar Remix)","Spot On","n/a",1
12,"Orion","See Me Here (Original Mix)","Incentive","n/a",1
13,"Praha pres. Xian","Pachinko (Part Two)","Platipus","n/a",1
14,"Rising Star","Clear Blue Moon (Original Mix)","Armind / Acetate","n/a",1
15,"Ralphie B.","Massive (Original Mix)","Blackhole Recordings Promo","n/a",1
16,"Members Of Mayday","10 In 01 (Paul van Dyk Remix)","Deviant Promo","n/a",1
17,"Rank 1","Such Is Life (Original Mix)","Free For All Promo","n/a",1
18,"S.O.L.I.S.","Dolphins (Classified Project Remix)","Alien Promo","n/a",1
19,"Armin van Buuren","Blue Fear (Original Mix)","n/a","n/a",1
1,"Cyclone","Salobre (Nickelson Remix)","Transk Promo","n/a",2
2,"The Infernal Machine","Realistic (Infernal Machine’s 2001 Remix)","Positiva Promo","n/a",2
3,"Sister Bliss feat. John Martyn","Deliver Me (Lee Coombs Mix)","Blackhole Recordings","n/a",2
4,"Perpetuous Dreamer","The Sound Of Goodbye (Armin van Buuren’s Rising Star Mix)","Armind","n/a",2
5,"Signum","Five Yards (Original Mix)","Promo BPM","n/a",2
6,"Tune Of The Week: Mystique vs. U2","New Years Dub (Hybrid Mix)","Serious Promo","n/a",2
7,"ASOT Radio Classic: Capricorn","20 Hz (Original Mix)","Global Cuts, 1993","n/a",2
8,"Mauro Picotto","Verdi (Original Mix)","BXR","n/a",2
9,"Taktic vs. Soulsearcher","Can’t Get Enough (Original Mix)","541 Promo","n/a",2
10,"Satoshi Tomiie","Love In Traffic (Original Mix)","Columbia Records","n/a",2
11,"Natious","Another World (Original Mix)","Yris","n/a",2
12,"Sonic Inc.","The Taste Of Summer (Fire & Ice Vital Remix)","Bonzai Promo","n/a",2
13,"Ralphie B.","Massive (Original Mix)","Blackhole Recordings Promo","n/a",2
14,"Airwave","Save Me (Original Mix)","Bonzai","n/a",2
15,"Mike Vandenberg","Flightpath (DJ Remy Remix)","Sadie","n/a",2
16,"Speedy J.","Electric Deluxe (Original Mix)","Plus 8","n/a",2
17,"Rising Star","Clear Blue Moon (Original Mix)","Armind / Acetate","n/a",2
18,"Schiller","Ruhe (Humate Remix)","n/a","n/a",2
1,"Jan Johnson","New York (Original Mix)","Alphabet City Promo","n/a",3
2,"Mike Heart","Central Impact (Original Mix)","Combined Forces Promo","n/a",3
3,"Cape Town","Stringrizer (Original Mix)","Bonzai","n/a",3
4,"Lexicon 4","Reach Me (Original Mix)","ID&T","n/a",3
5,"Orion","See Me Here (Original Mix)","Incentive Promo","n/a",3
6,"Tune Of The Week: Ralphie B.","Massive (Original Mix)","Blackhole Recordings Promo","n/a",3
7,"Perpetuous Dreamer","The Sound Of Goodbye (Armin van Buuren’s Tribal Feel Vocal Mix)","Armind Promo","n/a",3
8,"Warrior","Voodoo (Oliver Lieb Mix)","Incentive Promo","n/a",3
